"","x","y","K"
"1",837441.576,7584372.557,7.5
"2",837540.509,7584376.452,3.7
"3",837639.442,7584380.348,5.4
"4",837738.374,7584384.243,5.4
"5",837837.307,7584388.138,3.9
"6",837936.239,7584392.034,7.1
"7",837440.901,7584273.627,4.9
"8",837643.337,7584281.415,5.3
"9",837841.202,7584289.206,6.3
"10",837350.434,7584170.795,6.9
"11",837449.367,7584174.691,7.9
"12",837548.3,7584178.587,5.6
"13",837647.233,7584182.482,6.5
"14",837746.165,7584186.378,11
"15",837283.455,7584067.372,7.8
"16",837453.263,7584075.758,5.7
"17",837651.128,7584083.55,7.7
"18",837259.293,7583969.033,9.4
"19",837358.226,7583972.929,11.2
"20",837457.159,7583976.825,11
"21",837556.092,7583980.721,10.6
"22",837655.024,7583984.617,12.6
"23",837263.189,7583870.1,10.8
"24",837461.055,7583877.892,12.5
"25",837172.845,7583776.79,13.1
"26",837271.778,7583780.687,9
"27",837370.711,7583784.583,11.3
"28",837469.644,7583788.479,9.7
"29",837568.577,7583792.375,8.3
"30",837270.981,7583672.234,6.4
"31",837468.847,7583680.026,7.7
"32",837666.713,7583687.819,6.3
"33",837102.722,7583560.153,5.5
"34",837175.944,7583569.404,4.7
"35",837274.878,7583573.3,6.3
"36",837373.811,7583577.197,7.3
"37",837472.744,7583581.093,6.1
"38",837571.677,7583584.99,5.6
"39",837670.609,7583588.887,6
"40",837080.908,7583466.574,5.1
"41",837278.774,7583474.367,3.7
"42",837476.64,7583482.161,14.1
"43",837674.506,7583489.954,9.5
"44",837011.582,7583358.39,6.4
"45",837084.804,7583367.64,9.4
"46",837183.738,7583371.537,5.4
"47",837282.671,7583375.434,5.5
"48",837381.604,7583379.331,6.3
"49",837480.537,7583383.228,10.5
"50",837579.47,7583387.125,9.3
"51",837678.403,7583391.021,9.4
"52",837088.701,7583268.707,3.7
"53",837286.568,7583276.501,7.9
"54",837484.434,7583284.295,8.1
"55",836920.442,7583156.625,4.2
"56",836993.665,7583165.876,5.4
"57",837092.599,7583169.773,6.5
"58",837191.532,7583173.67,7.6
"59",837290.465,7583177.567,8.3
"60",837389.398,7583181.465,5
"61",837488.331,7583185.362,4.5
"62",837587.264,7583189.259,3.7
"63",836898.628,7583063.045,3.6
"64",837096.496,7583070.84,6.5
"65",837294.362,7583078.634,8.9
"66",837492.229,7583086.429,8.5
"67",836829.303,7582954.86,6.5
"68",836902.526,7582964.111,5.6
"69",837001.46,7582968.009,5.7
"70",837100.393,7582971.906,5.9
"71",837199.327,7582975.804,7.7
"72",837298.26,7582979.701,6.6
"73",837397.193,7582983.599,7.4
"74",837496.126,7582987.496,5.6
"75",837595.059,7582991.394,6.1
"76",837357.481,7584269.496,4.3
"77",837544.404,7584277.519,5.8
"78",837742.27,7584285.31,4.4
"79",837354.33,7584071.862,7
"80",837552.196,7584079.654,4.6
"81",837362.122,7583873.996,10.8
"82",837559.988,7583881.788,8
"83",837172.048,7583668.337,4.3
"84",837369.914,7583676.13,8
"85",837567.78,7583683.923,7
"86",837179.841,7583470.47,2.8
"87",837377.707,7583478.264,10.2
"88",837575.573,7583486.057,11.8
"89",836989.768,7583264.81,6.4
"90",837185.546,7583272.521,4.7
"91",837385.501,7583280.398,6.9
"92",837583.367,7583288.192,13
"93",836997.562,7583066.942,3.7
"94",837195.429,7583074.737,7
"95",837393.296,7583082.532,7.8
"96",837591.161,7583090.326,11.8
